above_list,zip,month,year
0.349,98117,8,2012
0.264,98118,8,2012
0.301,98119,8,2012
0.286,98121,8,2012
0.286,98122,8,2012
0.266,98125,8,2012
0.314,98126,8,2012
0.326,98133,8,2012
0,98134,8,2012
0.238,98136,8,2012
0.302,98144,8,2012
0.247,98146,8,2012
0.231,98148,8,2012
0.331,98155,8,2012
0,98164,8,2012
0.134,98166,8,2012
0.383,98168,8,2012
0.259,98177,8,2012
0.263,98178,8,2012
0.309,98188,8,2012
0.271,98198,8,2012
0.312,98199,8,2012
0.346,98201,8,2012
0.442,98203,8,2012
0.271,98204,8,2012
0,98205,8,2012
0.359,98208,8,2012
0.299,98223,8,2012
0,98241,8,2012
0.308,98251,8,2012
0.353,98252,8,2012
0.351,98258,8,2012
0.415,98270,8,2012
0.282,98271,8,2012
0.295,98272,8,2012
0.195,98275,8,2012
0,98287,8,2012
0.213,98290,8,2012
0.242,98292,8,2012
0.5,98294,8,2012
0.278,98296,8,2012
0.348,98001,9,2012
0.281,98002,9,2012
0.344,98003,9,2012
0.152,98004,9,2012
0.173,98005,9,2012
0.331,98006,9,2012
0.304,98007,9,2012
0.341,98008,9,2012
0.15,98010,9,2012
0.318,98011,9,2012
0.312,98012,9,2012
0.333,98014,9,2012
0.37,98019,9,2012
0.161,98020,9,2012
0.276,98021,9,2012
0.145,98022,9,2012
0.331,98023,9,2012
0.188,98024,9,2012
0.294,98026,9,2012
0.188,98027,9,2012
0.34,98028,9,2012
0.296,98029,9,2012
0.3,98030,9,2012
0.323,98031,9,2012
0.379,98032,9,2012
0.243,98033,9,2012
0.309,98034,9,2012
0.326,98036,9,2012
0.417,98037,9,2012
0.364,98038,9,2012
0.067,98039,9,2012
0.146,98040,9,2012
0.279,98042,9,2012
0.413,98043,9,2012
0.264,98045,9,2012
0.526,98047,9,2012
0.25,98051,9,2012
0.23,98052,9,2012
0.193,98053,9,2012
0.342,98055,9,2012
0.269,98056,9,2012
0.345,98057,9,2012
0.31,98058,9,2012
0.18,98059,9,2012
0.26,98065,9,2012
0.105,98070,9,2012
0.268,98072,9,2012
0.156,98074,9,2012
0.181,98075,9,2012
0.145,98077,9,2012
0.296,98087,9,2012
0.299,98092,9,2012
0.085,98101,9,2012
0.318,98102,9,2012
0.384,98103,9,2012
0.063,98104,9,2012
0.33,98105,9,2012
0.342,98106,9,2012
0.212,98107,9,2012
0.225,98108,9,2012
0.256,98109,9,2012
0.188,98112,9,2012
0.303,98115,9,2012
0.269,98116,9,2012
0.394,98117,9,2012
0.211,98118,9,2012
0.299,98119,9,2012
0.354,98121,9,2012
0.355,98122,9,2012
0.254,98125,9,2012
0.276,98126,9,2012
0.298,98133,9,2012
0,98134,9,2012
0.277,98136,9,2012
0.294,98144,9,2012
0.27,98146,9,2012
0.292,98148,9,2012
0.345,98155,9,2012
0,98164,9,2012
0.167,98166,9,2012
0.418,98168,9,2012
0.195,98177,9,2012
0.26,98178,9,2012
0.365,98188,9,2012
0.253,98198,9,2012
0.319,98199,9,2012
0.33,98201,9,2012
0.424,98203,9,2012
0.365,98204,9,2012
0,98205,9,2012
0.392,98208,9,2012
0.31,98223,9,2012
0,98224,9,2012
0,98241,9,2012
0.308,98251,9,2012
0.394,98252,9,2012
0,98256,9,2012
0.36,98258,9,2012
0.407,98270,9,2012
0.279,98271,9,2012
0.273,98272,9,2012
0.213,98275,9,2012
0,98287,9,2012
0.195,98290,9,2012
0.274,98292,9,2012
0.429,98294,9,2012
0.279,98296,9,2012
0.36,98001,10,2012
0.253,98002,10,2012
0.378,98003,10,2012
0.163,98004,10,2012
0.154,98005,10,2012
0.288,98006,10,2012
0.288,98007,10,2012
0.295,98008,10,2012
0.308,98010,10,2012
0.314,98011,10,2012
0.329,98012,10,2012
0.345,98014,10,2012
0.345,98019,10,2012
0.142,98020,10,2012
0.338,98021,10,2012
0.234,98022,10,2012
0.323,98023,10,2012
0.167,98024,10,2012
0.307,98026,10,2012
0.227,98027,10,2012
0.327,98028,10,2012
0.296,98029,10,2012
0.347,98030,10,2012
0.303,98031,10,2012
0.393,98032,10,2012
0.223,98033,10,2012
0.297,98034,10,2012
0.355,98036,10,2012
0.391,98037,10,2012
0.325,98038,10,2012
0.111,98039,10,2012
0.117,98040,10,2012
0.314,98042,10,2012
0.414,98043,10,2012
0.259,98045,10,2012
0.313,98047,10,2012
0.143,98051,10,2012
0.22,98052,10,2012
0.187,98053,10,2012
0.377,98055,10,2012
0.222,98056,10,2012
0.429,98057,10,2012
0.284,98058,10,2012
0.183,98059,10,2012
0.271,98065,10,2012
0.064,98070,10,2012
0.241,98072,10,2012
0.168,98074,10,2012
0.163,98075,10,2012
0.196,98077,10,2012
0.338,98087,10,2012
0.306,98092,10,2012
0.091,98101,10,2012
0.298,98102,10,2012
0.405,98103,10,2012
0.083,98104,10,2012
0.269,98105,10,2012
0.342,98106,10,2012
0.274,98107,10,2012
0.211,98108,10,2012
0.266,98109,10,2012
0.202,98112,10,2012
0.291,98115,10,2012
0.196,98116,10,2012
0.441,98117,10,2012
0.224,98118,10,2012
0.264,98119,10,2012
0.299,98121,10,2012
0.381,98122,10,2012
0.256,98125,10,2012
0.237,98126,10,2012
0.265,98133,10,2012
0.257,98136,10,2012
0.322,98144,10,2012
0.253,98146,10,2012
0.286,98148,10,2012
0.303,98155,10,2012
0,98164,10,2012
0.129,98166,10,2012
0.336,98168,10,2012
0.125,98177,10,2012
0.227,98178,10,2012
0.396,98188,10,2012
0.255,98198,10,2012
0.235,98199,10,2012
0.288,98201,10,2012
0.368,98203,10,2012
0.384,98204,10,2012
0,98205,10,2012
0.376,98208,10,2012
0.237,98223,10,2012
0,98224,10,2012
0,98241,10,2012
0.333,98251,10,2012
0.471,98252,10,2012
0,98256,10,2012
0.375,98258,10,2012
0.407,98270,10,2012
0.318,98271,10,2012
0.317,98272,10,2012
0.195,98275,10,2012
0.217,98290,10,2012
0.317,98292,10,2012
0.346,98294,10,2012
0.246,98296,10,2012
0.372,98001,11,2012
0.265,98002,11,2012
0.326,98003,11,2012
0.158,98004,11,2012
0.213,98005,11,2012
0.25,98006,11,2012
0.263,98007,11,2012
0.185,98008,11,2012
0.214,98010,11,2012
0.212,98011,11,2012
0.32,98012,11,2012
0.24,98014,11,2012
0.333,98019,11,2012
0.092,98020,11,2012
0.392,98021,11,2012
0.286,98022,11,2012
0.333,98023,11,2012
0.15,98024,11,2012
0.307,98026,11,2012
0.24,98027,11,2012
0.346,98028,11,2012
0.24,98029,11,2012
0.389,98030,11,2012
0.297,98031,11,2012
0.366,98032,11,2012
0.243,98033,11,2012
0.311,98034,11,2012
0.352,98036,11,2012
0.348,98037,11,2012
0.302,98038,11,2012
0.1,98039,11,2012
0.121,98040,11,2012
0.31,98042,11,2012
0.4,98043,11,2012
0.214,98045,11,2012
0.462,98047,11,2012
0,98050,11,2012
0.125,98051,11,2012
0.204,98052,11,2012
0.174,98053,11,2012
0.294,98055,11,2012
0.273,98056,11,2012
0.37,98057,11,2012
0.289,98058,11,2012
0.245,98059,11,2012
0.291,98065,11,2012
0.045,98070,11,2012
0.183,98072,11,2012
0.182,98074,11,2012
0.126,98075,11,2012
0.151,98077,11,2012
0.345,98087,11,2012
0.33,98092,11,2012
0.085,98101,11,2012
0.243,98102,11,2012
0.342,98103,11,2012
0.091,98104,11,2012
0.238,98105,11,2012
0.324,98106,11,2012
0.365,98107,11,2012
0.25,98108,11,2012
0.203,98109,11,2012
0.186,98112,11,2012
0.29,98115,11,2012
0.24,98116,11,2012
0.429,98117,11,2012
0.345,98118,11,2012
0.269,98119,11,2012
0.238,98121,11,2012
0.317,98122,11,2012
0.282,98125,11,2012
0.221,98126,11,2012
0.293,98133,11,2012
0.237,98136,11,2012
0.375,98144,11,2012
0.221,98146,11,2012
0.4,98148,11,2012
0.324,98155,11,2012
0.187,98166,11,2012
0.293,98168,11,2012
0.151,98177,11,2012
0.204,98178,11,2012
0.34,98188,11,2012
0.275,98198,11,2012
0.253,98199,11,2012
0.268,98201,11,2012
0.295,98203,11,2012
0.411,98204,11,2012
0,98205,11,2012
0.414,98208,11,2012
0.262,98223,11,2012
0,98224,11,2012
0,98241,11,2012
0.385,98251,11,2012
0.333,98252,11,2012
0,98256,11,2012
0.392,98258,11,2012
0.418,98270,11,2012
0.266,98271,11,2012
0.379,98272,11,2012
0.235,98275,11,2012
0,98288,11,2012
0.18,98290,11,2012
0.367,98292,11,2012
0.323,98294,11,2012
0.273,98296,11,2012
