year,city,county,zip,multiple_offers
2015,,King County,98166,0.632
2015,,King County,98168,0.5
2015,,King County,98177,0.634
2015,,King County,98188,0.2
2015,,King County,98198,0.417
2015,,Snohomish County,98012,0.315
2015,,Snohomish County,98020,0.636
2015,,Snohomish County,98036,0.521
2015,,Snohomish County,98296,0.308
2015,Arlington,Snohomish County,98223,0.111
2015,Auburn,King County,98092,0.429
2015,Bellevue,King County,98005,0.857
2015,Bellevue,King County,98006,0.772
2015,Bellevue,King County,98007,0.745
2015,Bellevue,King County,98008,0.864
2015,Bothell,King County,98011,0.682
2015,Bothell,Snohomish County,98021,0.561
2015,Carnation,King County,98014,0.667
2015,Duvall,King County,98019,0.536
2015,Edmonds,Snohomish County,98026,0.451
2015,Enumclaw,King County,98022,0.25
2015,Everett,Snohomish County,98201,0.357
2015,Everett,Snohomish County,98203,0.296
2015,Everett,Snohomish County,98204,0.5
2015,Everett,Snohomish County,98208,0.483
2015,Federal Way,King County,98003,0.667
2015,Federal Way,King County,98023,0.333
2015,Issaquah,King County,98027,0.692
2015,Issaquah,King County,98029,0.694
2015,Kent,King County,98030,0.364
2015,Kent,King County,98031,0.579
2015,Kent,King County,98032,0.5
2015,Kirkland,King County,98034,0.659
2015,Lake Stevens,Snohomish County,98258,0.463
2015,Lynnwood,Snohomish County,98037,0.52
2015,Lynnwood,Snohomish County,98087,0.286
2015,Maple Valley,King County,98038,0.5
2015,Marysville,Snohomish County,98270,0.353
2015,Marysville,Snohomish County,98271,0.286
2015,Mercer Island,King County,98040,0.667
2015,Monroe,Snohomish County,98272,0.389
2015,Mountlake Terrace,Snohomish County,98043,0.543
2015,Mukilteo,Snohomish County,98275,0.378
2015,North Bend,King County,98045,0.636
2015,Redmond,King County,98052,0.732
2015,Redmond,King County,98053,0.566
2015,Renton,King County,98055,0.556
2015,Renton,King County,98058,0.683
2015,Seattle,King County,98101,0.389
2015,Seattle,King County,98102,0.674
2015,Seattle,King County,98103,0.86
2015,Seattle,King County,98105,0.778
2015,Seattle,King County,98106,0.466
2015,Seattle,King County,98107,0.844
2015,Seattle,King County,98108,0.583
2015,Seattle,King County,98109,0.574
2015,Seattle,King County,98112,0.75
2015,Seattle,King County,98115,0.897
2015,Seattle,King County,98116,0.743
2015,Seattle,King County,98117,0.777
2015,Seattle,King County,98118,0.724
2015,Seattle,King County,98119,0.684
2015,Seattle,King County,98121,0.515
2015,Seattle,King County,98122,0.802
2015,Seattle,King County,98125,0.709
2015,Seattle,King County,98126,0.745
2015,Seattle,King County,98136,0.707
2015,Seattle,King County,98144,0.634
2015,Seattle,King County,98178,0.724
2015,Seattle,King County,98199,0.703
2015,Snohomish,Snohomish County,98290,0.348
2015,Snoqualmie,King County,98065,0.576
2015,Stanwood,Snohomish County,98292,0.444
2015,Woodinville,,98072,0.525
2015,Woodinville,,98077,0.105
2016,,King County,98001,0.5
2016,,King County,98042,0.6
2016,,King County,98056,0.5
2016,,King County,98059,0.806
2016,,King County,98075,0.609
2016,,King County,98133,0.886
2016,,King County,98146,0.667
2016,,King County,98155,0.852
2016,,King County,98166,0.5
2016,,King County,98168,0.778
2016,,King County,98177,0.87
2016,,King County,98198,0.692
2016,,Snohomish County,98012,0.647
2016,,Snohomish County,98020,0.727
2016,,Snohomish County,98036,0.731
2016,Arlington,Snohomish County,98223,0.3
2016,Auburn,King County,98002,0.333
2016,Auburn,King County,98092,0.4
2016,Bellevue,King County,98004,0.375
2016,Bellevue,King County,98005,0.909
2016,Bellevue,King County,98006,0.824
2016,Bellevue,King County,98008,0.933
2016,Bothell,King County,98011,0.786
2016,Bothell,Snohomish County,98021,0.71
2016,Duvall,King County,98019,0.6
2016,Edmonds,Snohomish County,98026,0.568
2016,Everett,Snohomish County,98201,0.429
2016,Everett,Snohomish County,98203,0.6
2016,Everett,Snohomish County,98208,0.545
2016,Federal Way,King County,98003,0.846
2016,Federal Way,King County,98023,0.667
2016,Issaquah,King County,98027,0.622
2016,Issaquah,King County,98029,0.867
2016,Kenmore,King County,98028,0.929
2016,Kent,King County,98030,0.625
2016,Kent,King County,98031,0.846
2016,Kent,King County,98032,0.364
2016,Kirkland,King County,98033,0.786
2016,Kirkland,King County,98034,0.93
2016,Lake Stevens,Snohomish County,98258,0.385
2016,Lynnwood,Snohomish County,98037,0.5
2016,Lynnwood,Snohomish County,98087,0.731
2016,Maple Valley,King County,98038,0.636
2016,Marysville,Snohomish County,98270,0.571
2016,Mercer Island,King County,98040,0.857
2016,Monroe,Snohomish County,98272,0.2
2016,Mountlake Terrace,Snohomish County,98043,0.7
2016,Mukilteo,Snohomish County,98275,0.714
2016,North Bend,King County,98045,0.833
2016,Redmond,King County,98052,0.889
2016,Redmond,King County,98053,0.313
2016,Renton,King County,98055,0.778
2016,Renton,King County,98058,0.87
2016,Sammamish,King County,98074,0.778
2016,Seattle,King County,98101,0.5
2016,Seattle,King County,98102,0.8
2016,Seattle,King County,98103,0.944
2016,Seattle,King County,98105,0.947
2016,Seattle,King County,98106,0.947
2016,Seattle,King County,98107,0.83
2016,Seattle,King County,98108,0.786
2016,Seattle,King County,98109,0.828
2016,Seattle,King County,98112,0.808
2016,Seattle,King County,98115,0.962
2016,Seattle,King County,98116,0.759
2016,Seattle,King County,98117,0.854
2016,Seattle,King County,98118,0.676
2016,Seattle,King County,98119,0.667
2016,Seattle,King County,98121,0.632
2016,Seattle,King County,98122,0.809
2016,Seattle,King County,98125,0.818
2016,Seattle,King County,98126,0.864
2016,Seattle,King County,98136,1
2016,Seattle,King County,98144,0.8
2016,Seattle,King County,98178,0.778
2016,Seattle,King County,98199,0.519
2016,Snohomish,Snohomish County,98290,0.625
2016,Snohomish,Snohomish County,98296,0.545
2016,Snoqualmie,King County,98065,0.833
2016,Stanwood,Snohomish County,98292,0.111
2016,Woodinville,,98072,0.842
2016,Woodinville,King County,98077,0.6
